product_id,category,team_own
17,PXXXXXB,ASD
18,PXXXXXB,ASD
20,PXXXXXB,ASD
287,PXXXXXB,ASD
372,PXXXXXB,ASD
422,PXXXXXB,ASD
429,PXXXXXB,ASD
430,PXXXXXB,ASD
431,PXXXXXB,ASD
599,PXXXXXB,ASD
634,PXXXXXB,ASD
641,PXXXXXB,ASD
651,PXXXXXB,ASD
671,PXXXXXB,ASD
672,PXXXXXB,ASD
766,PXXXXXB,ASD
767,PXXXXXB,ASD
794,PXXXXXB,ASD
836,PXXXXXB,ASD
892,PXXXXXB,ASD
898,PXXXXXB,ASD
905,PXXXXXB,ASD
1013,PXXXXXB,ASD
1020,PXXXXXB,ASD
1023,PXXXXXB,ASD
1057,PXXXXXB,ASD
1059,PXXXXXB,ASD
1087,PXXXXXB,ASD
1110,PXXXXXB,ASD
1200,PXXXXXB,ASD
1334,PXXXXXB,ASD
1403,PXXXXXB,ASD
1443,PXXXXXB,ASD
1452,PXXXXXB,ASD
1494,PXXXXXB,ASD
1495,PXXXXXB,ASD
1506,PXXXXXB,ASD
1549,PXXXXXB,ASD
1609,PXXXXXB,ASD
1645,PXXXXXB,ASD
1650,PXXXXXB,ASD
1679,PXXXXXB,ASD
1696,PXXXXXB,ASD
1714,PXXXXXB,ASD
1718,PXXXXXB,ASD
1719,PXXXXXB,ASD
1720,PXXXXXB,ASD
1741,PXXXXXB,ASD
1820,PXXXXXB,ASD
1889,PXXXXXB,ASD
2188,PXXXXXB,ASD
2318,PXXXXXB,ASD
2390,PXXXXXB,ASD
21,PXXXXXB,ASD
45,PXXXXXB,ASD
204,PXXXXXB,ASD
226,PXXXXXB,ASD
253,PXXXXXB,ASD
265,PXXXXXB,ASD
294,PXXXXXB,ASD
304,PXXXXXB,ASD
326,PXXXXXB,ASD
330,PXXXXXB,ASD
359,PXXXXXB,ASD
1316,PXXXXXC,ASL
1628,PXXXXXC,ASL
1629,PXXXXXC,ASL
2218,PXXXXXC,ASL
2219,PXXXXXC,ASL
2220,PXXXXXC,ASL
2356,PXXXXXC,ASL
110,PXXXXXD1,ASL
791,PXXXXXD1,ASL
992,PXXXXXD1,ASL
1063,PXXXXXD1,ASL
1127,PXXXXXD1,ASL
1243,PXXXXXD1,ASL
1251,PXXXXXD1,ASL
1678,PXXXXXD1,ASL
35,PXXXXXD1,ASL
111,PXXXXXD1,ASL
307,PXXXXXD2,ASD
312,PXXXXXD2,ASD
346,PXXXXXD2,ASD
54,PXXXXXE,ASD
113,PXXXXXE,ASD
288,PXXXXXE,ASD
601,PXXXXXE,ASD
605,PXXXXXE,ASD
615,PXXXXXE,ASD
752,PXXXXXE,ASD
854,PXXXXXE,ASD
907,PXXXXXE,ASD
910,PXXXXXE,ASD
988,PXXXXXE,ASD
1156,PXXXXXE,ASD
1232,PXXXXXE,ASD
1347,PXXXXXE,ASD
1463,PXXXXXE,ASD
1478,PXXXXXE,ASD
1846,PXXXXXE,ASD
100,PXXXXXE,ASD
203,PXXXXXE,ASD
216,PXXXXXE,ASD
218,PXXXXXE,ASD
219,PXXXXXE,ASD
579,PXXXXXE,APS
2174,PXXXXXE,APS
2419,PXXXXXE,APS
83,PXXXXXF,ASL
99,PXXXXXF,ASL
118,PXXXXXF,ASL
576,PXXXXXF,ASL
589,PXXXXXF,ASL
616,PXXXXXF,ASL
617,PXXXXXF,ASL
626,PXXXXXF,ASL
640,PXXXXXF,ASL
687,PXXXXXF,ASL
697,PXXXXXF,ASL
704,PXXXXXF,ASL
714,PXXXXXF,ASL
715,PXXXXXF,ASL
722,PXXXXXF,ASL
739,PXXXXXF,ASL
744,PXXXXXF,ASL
747,PXXXXXF,ASL
755,PXXXXXF,ASL
758,PXXXXXF,ASL
786,PXXXXXF,ASL
787,PXXXXXF,ASL
883,PXXXXXF,ASL
936,PXXXXXF,ASL
943,PXXXXXF,ASL
966,PXXXXXF,ASL
976,PXXXXXF,ASL
1122,PXXXXXF,ASL
1151,PXXXXXF,ASL
1163,PXXXXXF,ASL
1173,PXXXXXF,ASL
1195,PXXXXXF,ASL
1217,PXXXXXF,ASL
1223,PXXXXXF,ASL
1249,PXXXXXF,ASL
1277,PXXXXXF,ASL
1311,PXXXXXF,ASL
1326,PXXXXXF,ASL
1435,PXXXXXF,ASL
1441,PXXXXXF,ASL
1460,PXXXXXF,ASL
1461,PXXXXXF,ASL
1479,PXXXXXF,ASL
1486,PXXXXXF,ASL
1491,PXXXXXF,ASL
1497,PXXXXXF,ASL
1513,PXXXXXF,ASL
1563,PXXXXXF,ASL
1574,PXXXXXF,ASL
1578,PXXXXXF,ASL
1614,PXXXXXF,ASL
1622,PXXXXXF,ASL
1630,PXXXXXF,ASL
1644,PXXXXXF,ASL
1646,PXXXXXF,ASL
1668,PXXXXXF,ASL
1677,PXXXXXF,ASL
1689,PXXXXXF,ASL
1697,PXXXXXF,ASL
1716,PXXXXXF,ASL
1847,PXXXXXF,ASL
1855,PXXXXXF,ASL
1968,PXXXXXF,ASL
1979,PXXXXXF,ASL
2002,PXXXXXF,ASL
2185,PXXXXXF,ASL
2200,PXXXXXF,ASL
2221,PXXXXXF,ASL
2225,PXXXXXF,ASL
2291,PXXXXXF,ASL
2335,PXXXXXF,ASL
2342,PXXXXXF,ASL
2408,PXXXXXF,ASL
2587,PXXXXXF,ASL
10039,PXXXXXF,ASL
66,PXXXXXF,ASL
224,PXXXXXF,ASL
266,PXXXXXF,ASL
309,PXXXXXF,ASL
15,PXXXXXG,ASD
144,PXXXXXG,ASD
148,PXXXXXG,ASD
149,PXXXXXG,ASD
242,PXXXXXG,ASD
24,PXXXXXM,ASL
665,PXXXXXM,ASL
215,PXXXXXM,ASL
264,PXXXXXM,ASL
356,PXXXXXM,ASL
19,PXXXXXM2,ASD
108,PXXXXXM2,ASD
205,PXXXXXM2,ASD
237,PXXXXXM2,ASD
328,PXXXXXM2,ASD
662,PXXXXXM2,ASD
696,PXXXXXM2,ASD
842,PXXXXXM2,ASD
1875,PXXXXXM2,ASD
1876,PXXXXXM2,ASD
73,PXXXXXM2,ASD
75,PXXXXXM2,ASD
229,PXXXXXM2,ASD
248,PXXXXXM2,ASD
368,PXXXXXM2,ASD
374,PXXXXXM2,ASD
375,PXXXXXM2,ASD
376,PXXXXXM2,ASD
377,PXXXXXM2,ASD
378,PXXXXXM2,ASD
379,PXXXXXM2,ASD
380,PXXXXXM2,ASD
381,PXXXXXM2,ASD
382,PXXXXXM2,ASD
383,PXXXXXM2,ASD
384,PXXXXXM2,ASD
385,PXXXXXM2,ASD
386,PXXXXXM2,ASD
387,PXXXXXM2,ASD
388,PXXXXXM2,ASD
389,PXXXXXM2,ASD
390,PXXXXXM2,ASD
391,PXXXXXM2,ASD
392,PXXXXXM2,ASD
393,PXXXXXM2,ASD
394,PXXXXXM2,ASD
395,PXXXXXM2,ASD
396,PXXXXXM2,ASD
397,PXXXXXM2,ASD
303,PXXXXXO,APS
664,PXXXXXP,ASD
124,PXXXXXR,ASL
223,PXXXXXR,ASL
318,PXXXXXR,ASL
325,PXXXXXR,ASL
335,PXXXXXR,ASL
343,PXXXXXR,ASL
361,PXXXXXR,ASL
426,PXXXXXR,ASL
427,PXXXXXR,ASL
602,PXXXXXR,ASL
603,PXXXXXR,ASL
648,PXXXXXR,ASL
654,PXXXXXR,ASL
670,PXXXXXR,ASL
700,PXXXXXR,ASL
701,PXXXXXR,ASL
708,PXXXXXR,ASL
717,PXXXXXR,ASL
721,PXXXXXR,ASL
737,PXXXXXR,ASL
804,PXXXXXR,ASL
814,PXXXXXR,ASL
881,PXXXXXR,ASL
908,PXXXXXR,ASL
1014,PXXXXXR,ASL
1016,PXXXXXR,ASL
1078,PXXXXXR,ASL
1084,PXXXXXR,ASL
1125,PXXXXXR,ASL
1143,PXXXXXR,ASL
1154,PXXXXXR,ASL
1207,PXXXXXR,ASL
1236,PXXXXXR,ASL
1278,PXXXXXR,ASL
1283,PXXXXXR,ASL
1305,PXXXXXR,ASL
1330,PXXXXXR,ASL
1337,PXXXXXR,ASL
1397,PXXXXXR,ASL
1400,PXXXXXR,ASL
1414,PXXXXXR,ASL
1442,PXXXXXR,ASL
1472,PXXXXXR,ASL
1509,PXXXXXR,ASL
1546,PXXXXXR,ASL
1582,PXXXXXR,ASL
1583,PXXXXXR,ASL
1584,PXXXXXR,ASL
1585,PXXXXXR,ASL
1586,PXXXXXR,ASL
1587,PXXXXXR,ASL
1621,PXXXXXR,ASL
1675,PXXXXXR,ASL
1682,PXXXXXR,ASL
1683,PXXXXXR,ASL
1684,PXXXXXR,ASL
1687,PXXXXXR,ASL
1688,PXXXXXR,ASL
1702,PXXXXXR,ASL
1743,PXXXXXR,ASL
1744,PXXXXXR,ASL
1745,PXXXXXR,ASL
1748,PXXXXXR,ASL
1752,PXXXXXR,ASL
1753,PXXXXXR,ASL
1756,PXXXXXR,ASL
1758,PXXXXXR,ASL
1759,PXXXXXR,ASL
1761,PXXXXXR,ASL
1765,PXXXXXR,ASL
1766,PXXXXXR,ASL
1799,PXXXXXR,ASL
1849,PXXXXXR,ASL
1850,PXXXXXR,ASL
1851,PXXXXXR,ASL
1937,PXXXXXR,ASL
1949,PXXXXXR,ASL
1953,PXXXXXR,ASL
1961,PXXXXXR,ASL
1967,PXXXXXR,ASL
2198,PXXXXXR,ASL
2202,PXXXXXR,ASL
2203,PXXXXXR,ASL
2236,PXXXXXR,ASL
2334,PXXXXXR,ASL
15067,PXXXXXR,ASL
77,PXXXXXR,ASL
82,PXXXXXR,ASL
85,PXXXXXR,ASL
112,PXXXXXR,ASL
116,PXXXXXR,ASL
138,PXXXXXR,ASL
139,PXXXXXR,ASL
209,PXXXXXR,ASL
291,PXXXXXR,ASL
292,PXXXXXR,ASL
305,PXXXXXR,ASL
306,PXXXXXR,ASL
310,PXXXXXR,ASL
334,PXXXXXR,ASL
338,PXXXXXR,ASL
340,PXXXXXR,ASL
370,PXXXXXR,ASL
371,PXXXXXR,ASL
207,PXXXXXS,APS
228,PXXXXXS,APS
238,PXXXXXS,APS
331,PXXXXXS,APS
625,PXXXXXS,APS
719,PXXXXXS,APS
789,PXXXXXS,APS
823,PXXXXXS,APS
839,PXXXXXS,APS
1051,PXXXXXS,APS
1313,PXXXXXS,APS
1481,PXXXXXS,APS
1627,PXXXXXS,APS
1767,PXXXXXS,APS
2003,PXXXXXS,APS
16,PXXXXXS,APS
37,PXXXXXS,APS
74,PXXXXXS,APS
81,PXXXXXS,APS
86,PXXXXXS,APS
88,PXXXXXS,APS
89,PXXXXXS,APS
104,PXXXXXS,APS
114,PXXXXXS,APS
119,PXXXXXS,APS
126,PXXXXXS,APS
131,PXXXXXS,APS
210,PXXXXXS,APS
217,PXXXXXS,APS
220,PXXXXXS,APS
230,PXXXXXS,APS
231,PXXXXXS,APS
232,PXXXXXS,APS
233,PXXXXXS,APS
234,PXXXXXS,APS
235,PXXXXXS,APS
236,PXXXXXS,APS
251,PXXXXXS,APS
252,PXXXXXS,APS
255,PXXXXXS,APS
258,PXXXXXS,APS
261,PXXXXXS,APS
268,PXXXXXS,APS
269,PXXXXXS,APS
270,PXXXXXS,APS
271,PXXXXXS,APS
272,PXXXXXS,APS
273,PXXXXXS,APS
274,PXXXXXS,APS
276,PXXXXXS,APS
277,PXXXXXS,APS
278,PXXXXXS,APS
279,PXXXXXS,APS
280,PXXXXXS,APS
281,PXXXXXS,APS
282,PXXXXXS,APS
283,PXXXXXS,APS
284,PXXXXXS,APS
285,PXXXXXS,APS
293,PXXXXXS,APS
295,PXXXXXS,APS
296,PXXXXXS,APS
298,PXXXXXS,APS
302,PXXXXXS,APS
308,PXXXXXS,APS
313,PXXXXXS,APS
327,PXXXXXS,APS
336,PXXXXXS,APS
337,PXXXXXS,APS
345,PXXXXXS,APS
347,PXXXXXS,APS
352,PXXXXXS,APS
373,PXXXXXS,APS
12,PXXXXXT,ASD
61,PXXXXXT,ASD
441,PXXXXXT,ASD
451,PXXXXXT,ASD
453,PXXXXXT,ASD
455,PXXXXXT,ASD
2172,PXXXXXT,ASD
2391,PXXXXXT,ASD
11,PXXXXXT,ASD
360,PXXXXXT1,ASL
1312,PXXXXXT1,ASL
1404,PXXXXXT1,ASL
366,PXXXXXT1,ASL
69,PXXXXXT2,ASD
225,PXXXXXT2,ASD
559,PXXXXXT2,ASD
606,PXXXXXT2,ASD
612,PXXXXXT2,ASD
620,PXXXXXT2,ASD
677,PXXXXXT2,ASD
678,PXXXXXT2,ASD
681,PXXXXXT2,ASD
738,PXXXXXT2,ASD
984,PXXXXXT2,ASD
1130,PXXXXXT2,ASD
1306,PXXXXXT2,ASD
84,PXXXXXT2,ASD
102,PXXXXXT2,ASD
206,PXXXXXT2,ASD
227,PXXXXXT2,ASD
246,PXXXXXT2,ASD
247,PXXXXXT2,ASD
249,PXXXXXT2,ASD
250,PXXXXXT2,ASD
254,PXXXXXT2,ASD
256,PXXXXXT2,ASD
257,PXXXXXT2,ASD
260,PXXXXXT2,ASD
267,PXXXXXT2,ASD
275,PXXXXXT2,ASD
297,PXXXXXT2,ASD
299,PXXXXXT2,ASD
300,PXXXXXT2,ASD
301,PXXXXXT2,ASD
320,PXXXXXT2,ASD
349,PXXXXXT2,ASD
355,PXXXXXT2,ASD
28,PXXXXXV,ASD
29,PXXXXXV,ASD
32,PXXXXXV,ASD
416,PXXXXXV,ASD
1113,PXXXXXV,ASD
1350,PXXXXXV,ASD
9,PXXXXXV,ASD
10,PXXXXXV,ASD
14,PXXXXXV,ASD
26,PXXXXXV,ASD
27,PXXXXXV,ASD
30,PXXXXXV,ASD
31,PXXXXXV,ASD
33,PXXXXXV,ASD
42,PXXXXXV,ASD
47,PXXXXXV,ASD
48,PXXXXXV,ASD
52,PXXXXXV,ASD
63,PXXXXXV,ASD
64,PXXXXXV,ASD
71,PXXXXXV,ASD
121,PXXXXXV,ASD
151,PXXXXXV,ASD
259,PXXXXXV,ASD
321,PXXXXXV,ASD
322,PXXXXXV,ASD
341,PXXXXXV,ASD
342,PXXXXXV,ASD
367,PXXXXXV,ASD
